mmin,mmax,mstep,minwindowsize,ntests,eegchannel,stimlvl,method,tp,fp,tn,fn
1,240,240,239,2,FC,50dB,cgst,0.0113636363636364,0.602272727272727,0.522727272727273,0.988636363636364
1,240,240,239,2,F4,50dB,cgst,0.0113636363636364,0.522727272727273,0.613636363636364,1
1,240,240,239,2,T6,50dB,cgst,0.0227272727272727,0.147727272727273,0.954545454545455,0.988636363636364
1,240,240,239,2,P4,50dB,cgst,0.0113636363636364,0.488636363636364,0.693181818181818,1
1,240,240,239,2,T4,50dB,cgst,0.0113636363636364,0.147727272727273,0.897727272727273,1
1,240,240,239,2,Oz,50dB,cgst,0.0227272727272727,0.284090909090909,0.829545454545455,1
1,240,240,239,2,C4,50dB,cgst,0.0227272727272727,0.465909090909091,0.625,0.988636363636364
1,240,240,239,2,T5,50dB,cgst,0.0113636363636364,0.261363636363636,0.829545454545455,1
1,240,240,239,2,P3,50dB,cgst,0,0.409090909090909,0.693181818181818,1
1,240,240,239,2,F7,50dB,cgst,0,0.318181818181818,0.818181818181818,1
1,240,240,239,2,F3,50dB,cgst,0.0340909090909091,0.431818181818182,0.727272727272727,1
1,240,240,239,2,T3,50dB,cgst,0.0113636363636364,0.25,0.818181818181818,0.988636363636364
1,240,240,239,2,C3,50dB,cgst,0.0227272727272727,0.431818181818182,0.670454545454545,1
1,240,240,239,2,Fz,50dB,cgst,0.0113636363636364,0.545454545454545,0.568181818181818,1
1,240,240,239,2,Pz,50dB,cgst,0,0.375,0.704545454545455,1
1,240,240,239,2,Cz,50dB,cgst,0.0113636363636364,0.602272727272727,0.534090909090909,1
2,240,239,238,2,Cz,50dB,cgst,0,0.602272727272727,0.534090909090909,1
3,240,238,237,2,Cz,50dB,cgst,0,0.602272727272727,0.545454545454545,1
4,240,237,236,2,Cz,50dB,cgst,0,0.579545454545455,0.556818181818182,1
5,240,236,235,2,Cz,50dB,cgst,0,0.602272727272727,0.579545454545455,1
6,240,235,234,2,Cz,50dB,cgst,0,0.590909090909091,0.579545454545455,1
7,240,234,233,2,Cz,50dB,cgst,0,0.579545454545455,0.579545454545455,1
8,240,233,232,2,Cz,50dB,cgst,0,0.568181818181818,0.579545454545455,1
9,240,232,231,2,Cz,50dB,cgst,0,0.556818181818182,0.579545454545455,1
10,240,231,230,2,Cz,50dB,cgst,0,0.568181818181818,0.568181818181818,1
11,240,230,229,2,Cz,50dB,cgst,0,0.579545454545455,0.568181818181818,1
12,240,229,228,2,Cz,50dB,cgst,0,0.556818181818182,0.568181818181818,1
13,240,228,227,2,Cz,50dB,cgst,0,0.579545454545455,0.579545454545455,1
14,240,227,226,2,Cz,50dB,cgst,0,0.556818181818182,0.568181818181818,1
15,240,226,225,2,Cz,50dB,cgst,0,0.568181818181818,0.568181818181818,1
16,240,225,224,2,Cz,50dB,cgst,0,0.568181818181818,0.568181818181818,1
17,240,224,223,2,Cz,50dB,cgst,0.0113636363636364,0.568181818181818,0.568181818181818,1
18,240,223,222,2,Cz,50dB,cgst,0.0227272727272727,0.545454545454545,0.590909090909091,1
19,240,222,221,2,Cz,50dB,cgst,0,0.579545454545455,0.579545454545455,1
20,240,221,220,2,Cz,50dB,cgst,0.0113636363636364,0.522727272727273,0.579545454545455,1
21,240,220,219,2,Cz,50dB,cgst,0,0.522727272727273,0.579545454545455,1
22,240,219,218,2,Cz,50dB,cgst,0,0.511363636363636,0.579545454545455,1
23,240,218,217,2,Cz,50dB,cgst,0,0.545454545454545,0.568181818181818,1
24,240,217,216,2,Cz,50dB,cgst,0.0113636363636364,0.534090909090909,0.556818181818182,1
25,240,216,215,2,Cz,50dB,cgst,0.0113636363636364,0.545454545454545,0.556818181818182,1
26,240,215,214,2,Cz,50dB,cgst,0.0113636363636364,0.534090909090909,0.556818181818182,1
27,240,214,213,2,Cz,50dB,cgst,0.0227272727272727,0.545454545454545,0.568181818181818,1
28,240,213,212,2,Cz,50dB,cgst,0.0113636363636364,0.534090909090909,0.568181818181818,1
29,240,212,211,2,Cz,50dB,cgst,0.0113636363636364,0.522727272727273,0.568181818181818,1
30,240,211,210,2,Cz,50dB,cgst,0,0.522727272727273,0.579545454545455,1
31,240,210,209,2,Cz,50dB,cgst,0,0.534090909090909,0.568181818181818,1
32,240,209,208,2,Cz,50dB,cgst,0,0.522727272727273,0.590909090909091,1
33,240,208,207,2,Cz,50dB,cgst,0,0.511363636363636,0.579545454545455,1
34,240,207,206,2,Cz,50dB,cgst,0,0.522727272727273,0.579545454545455,1
35,240,206,205,2,Cz,50dB,cgst,0,0.522727272727273,0.556818181818182,1
36,240,205,204,2,Cz,50dB,cgst,0,0.534090909090909,0.568181818181818,1
37,240,204,203,2,Cz,50dB,cgst,0.0113636363636364,0.534090909090909,0.579545454545455,1
38,240,203,202,2,Cz,50dB,cgst,0.0113636363636364,0.534090909090909,0.568181818181818,1
39,240,202,201,2,Cz,50dB,cgst,0.0113636363636364,0.534090909090909,0.568181818181818,1
40,240,201,200,2,Cz,50dB,cgst,0.0113636363636364,0.511363636363636,0.590909090909091,1
41,240,200,199,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.579545454545455,1
42,240,199,198,2,Cz,50dB,cgst,0,0.488636363636364,0.568181818181818,1
43,240,198,197,2,Cz,50dB,cgst,0,0.488636363636364,0.568181818181818,1
44,240,197,196,2,Cz,50dB,cgst,0,0.488636363636364,0.568181818181818,1
45,240,196,195,2,Cz,50dB,cgst,0,0.488636363636364,0.556818181818182,1
46,240,195,194,2,Cz,50dB,cgst,0,0.488636363636364,0.579545454545455,1
47,240,194,193,2,Cz,50dB,cgst,0.0227272727272727,0.477272727272727,0.568181818181818,1
48,240,193,192,2,Cz,50dB,cgst,0.0227272727272727,0.488636363636364,0.590909090909091,1
49,240,192,191,2,Cz,50dB,cgst,0.0227272727272727,0.5,0.590909090909091,1
50,240,191,190,2,Cz,50dB,cgst,0.0227272727272727,0.477272727272727,0.602272727272727,1
51,240,190,189,2,Cz,50dB,cgst,0.0227272727272727,0.5,0.602272727272727,1
52,240,189,188,2,Cz,50dB,cgst,0.0227272727272727,0.522727272727273,0.625,1
53,240,188,187,2,Cz,50dB,cgst,0.0227272727272727,0.511363636363636,0.602272727272727,1
54,240,187,186,2,Cz,50dB,cgst,0.0227272727272727,0.5,0.590909090909091,1
55,240,186,185,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.602272727272727,1
56,240,185,184,2,Cz,50dB,cgst,0,0.511363636363636,0.590909090909091,1
57,240,184,183,2,Cz,50dB,cgst,0.0113636363636364,0.522727272727273,0.602272727272727,1
58,240,183,182,2,Cz,50dB,cgst,0.0113636363636364,0.511363636363636,0.613636363636364,1
59,240,182,181,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.613636363636364,1
60,240,181,180,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.613636363636364,1
61,240,180,179,2,Cz,50dB,cgst,0.0113636363636364,0.477272727272727,0.625,0.988636363636364
62,240,179,178,2,Cz,50dB,cgst,0.0113636363636364,0.465909090909091,0.636363636363636,0.988636363636364
63,240,178,177,2,Cz,50dB,cgst,0.0113636363636364,0.465909090909091,0.625,0.988636363636364
64,240,177,176,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.647727272727273,0.988636363636364
65,240,176,175,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.636363636363636,1
66,240,175,174,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.647727272727273,1
67,240,174,173,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.636363636363636,1
68,240,173,172,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.625,1
69,240,172,171,2,Cz,50dB,cgst,0.0227272727272727,0.5,0.636363636363636,1
70,240,171,170,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.625,1
71,240,170,169,2,Cz,50dB,cgst,0.0113636363636364,0.511363636363636,0.613636363636364,1
72,240,169,168,2,Cz,50dB,cgst,0.0113636363636364,0.511363636363636,0.625,1
