SNR,TPR,FPR,TTFD,Alpha (%),Feature,Window,Detection
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-20.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-17.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-17.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-17.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-17.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-17.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-17.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-17.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
