SNR,TPR,FPR,TTFD,Alpha (%),Feature,Window,Detection
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-30.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-27.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-25.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-22.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-20.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-20.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-20.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-20.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-20.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-20.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-20.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
